SERIAL NO,AIRLINE ,AIRLINE IATA CODE,FLIGHT NO,FLIGHT TYPE,ROUTE,DEPARTURE COUNTRY,DEPARTURE CITY,DEPARTURE AIRPORT,DEPARTURE IATA CODE,ARRIVAL COUNTRY,ARRIVAL CITY,ARRIVAL AIRPORT,ARRIVAL IATA CODE,FLIGHT DURATION,
1,AIRBLUE,PA,PA-201,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 58 MINUTES,
2,AIRBLUE,PA,PA-207,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 58 MINUTES,
3,AIRBLUE,PA,PA-200,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 58 MINUTES,
4,AIRBLUE,PA,PA-208,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 58 MINUTES,
5,AIRBLUE,PA,PA-402,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 58 MINUTES,
6,AIRBLUE,PA,PA-406,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 58 MINUTES,
7,AIRBLUE,PA,PA-401,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 58 MINUTES,
8,AIRBLUE,PA,PA-405,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 58 MINUTES,
9,AIRBLUE,PA,PA-702,DOMESTIC,ISB-KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,1 HOUR,
10,AIRBLUE,PA,PA-703,DOMESTIC,KDU-ISB,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR,
11,AIRBLUE,PA,PA-704,DOMESTIC,LHE-KDU,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,1 HOUR 30 MINUTES,
12,AIRBLUE,PA,PA-705,DOMESTIC,KDU-LHE,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 35 MINUTES,
13,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-301,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 55 MINUTES,
14,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-309,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 55 MINUTES,
15,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-319,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 55 MINUTES,
16,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-300,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 55 MINUTES,
17,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-308,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 55 MINUTES,
18,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-320,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 55 MINUTES,
19,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-325,DOMESTIC,ISB-UET,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,QUETTA,Quetta International Airport ,UET,1 HOUR 25 MINUTES,
20,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-326,DOMESTIC,UET-ISB,PAKISTAN,QUETTA,Quetta International Airport ,UET,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 25 MINUTES,
21,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-303,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 45 MINUTES,
22,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-305,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 45 MINUTES,
23,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-307,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 45 MINUTES,
24,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-302,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 45 MINUTES,
25,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-304,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 45 MINUTES,
26,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-306,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 45 MINUTES,
